px,py,pz,nx,ny,nz
-0.80036,-0.943219,0.983794,0.0844868,0.952758,0.291745
0.0623879,-0.0293056,0.863985,0.225274,-0.0211131,-0.974067
-0.610811,-0.169711,0.170819,0.108461,-0.365368,-0.924523
0.671613,0.173947,1.41554,0.465635,-0.467941,0.751143
-0.586519,0.495183,1.9184,-0.985423,0.170125,0
0.548277,0.87904,0.390274,-0.342811,-0.0296643,0.938936
-0.901103,0.424724,1.89305,0.0488664,0.0187389,0.99863
0.866168,0.974958,0.0886643,-0.290581,0.346919,0.891745
0.44389,0.32927,1.81967,0.294564,0.283314,0.912669
0.0174076,0.0649931,2.30945,0.231797,-0.172142,-0.957412
-0.237028,0.952447,2.74895,0.553236,0.120859,-0.824211
0.411296,0.970162,1.67926,-0.672095,-0.720892,0.169123
0.811327,0.651113,0.575147,-0.533048,-0.843183,-0.0700154
-0.0956482,-0.510785,0.428663,-0.995134,-0.0985366,0
0.847903,-0.759401,2.63242,-0.602153,0.230974,0.76424
0.93372,-0.0638277,2.2694,-0.400526,0.834409,-0.378603
0.809949,-0.586184,1.87924,0.621275,-0.783593,0
0.763341,-0.0118752,1.01477,-0.216824,-0.481924,0.848962
0.446468,0.331914,1.81802,0.294564,0.283314,0.912669
0.536398,0.700256,0.452662,0.46945,-0.509894,0.72085
0.741617,0.0294027,1.03147,0.216824,0.481924,-0.848962
-0.0513029,0.90057,2.36078,0.0759621,-0.997111,0
-0.9329,0.45623,0.0978386,-0.0541186,0.0463424,0.997459
0.892549,0.411735,2.43594,0.588061,0.808817,0
0.0236145,-0.111068,2.75209,-0.893185,0.449689,0
0.342617,-0.236056,1.03877,0.177096,0.0808802,0.980865
0.317011,-0.49459,0.126185,0.971065,-0.238815,0
0.268412,-0.474767,0.124833,-0.0374221,-0.152165,-0.987646
0.954719,-0.299753,1.68297,0.401606,-0.915813,0
-0.226876,0.944319,2.75457,0.553236,0.120859,-0.82421
0.520186,0.0317181,2.77531,-0.59228,-0.584169,-0.554933
0.0018995,-0.111741,0.852809,-0.225274,0.0211131,0.974067
0.864425,0.604463,0.0555502,0.213113,-0.230337,0.949488
0.805976,0.653987,0.581265,-0.533048,-0.843183,-0.0700154
0.484493,-0.851857,1.32191,-0.39769,-0.234381,0.887079
0.348964,-0.319023,0.54024,-0.88628,0.46315,0
0.377843,0.284032,1.8543,-0.657793,-0.632672,0.408699
-0.0693046,0.822581,0.298278,-0.0777163,0.595662,0.799467
-0.929663,0.660711,2.75258,0.830207,0.557455,0
0.311196,0.482979,0.338509,-0.610552,-0.791977,0
-0.229411,0.946281,2.75315,0.553236,0.120859,-0.82421
1.01837,0.385609,1.98884,0.698467,0.715642,0
-0.661732,0.860953,0.513685,-0.497229,-0.867619,0
0.769567,-0.0314287,2.72257,0.271115,0.340603,0.90027
0.274942,-0.0150686,0.493134,0.0251805,-0.327925,-0.944368
-0.14964,0.950324,1.51913,-0.411078,0.9116,0
-0.937677,0.672646,2.78247,0.830207,0.557455,0
-0.18911,0.201311,0.362834,-0.23677,-0.108148,0.965528
0.915421,-0.77343,2.2079,0.985516,0.169582,0
1.01702,0.649928,2.37366,0.548821,0.318736,0.772789
0.77602,-0.579472,0.362799,-0.757874,-0.224055,0.612721
0.797231,-0.300964,0.715121,-0.648817,-0.0928001,0.755265
-0.652418,0.191728,1.61086,0.976679,-0.169715,-0.131509
0.38258,-0.399267,2.14039,0.710887,0.620072,-0.331889
0.611178,0.122568,0.641304,0.362065,0.65848,0.659783
0.0226892,0.630443,2.95241,0.312776,-0.843617,-0.436442
0.888243,0.626923,0.0556527,0.213113,-0.230337,0.949488
0.337429,0.186941,2.19161,-0.999483,-0.0321525,0
-0.802979,0.631633,2.40667,-0.149629,-0.389229,0.908907
-0.306377,-0.171307,1.63672,-0.213112,-0.587412,-0.780724
0.540961,-0.545288,0.181293,-0.916476,-0.400089,0
0.254417,-0.483136,0.126652,-0.0374221,-0.152165,-0.987646
-0.738656,0.920844,2.68245,-0.308883,-0.054549,-0.949534
0.370982,-0.371707,2.32903,-0.799581,0.600559,0
0.188814,-0.819911,1.20103,0.165587,-0.842949,-0.511877
0.938752,-0.0587022,2.27537,-0.400526,0.834409,-0.378603
0.579399,-0.564544,0.123054,-0.346994,0.794853,-0.4978
-0.58582,0.861744,0.453796,0.637172,-0.365161,-0.678727
-0.850274,-0.844072,2.60931,0.454692,-0.200535,0.86778
-0.478164,-0.865053,0.10242,0.229196,-0.0389573,0.9726
0.546681,-0.150751,1.73583,0.811838,-0.583883,0
0.812845,0.908131,0.0548141,-0.766608,-0.642115,0
0.719944,-0.234334,0.946296,0.998201,0.0599616,0
0.546683,-0.150749,1.73364,0.811838,-0.583883,0
0.77548,0.675691,1.96394,0.599423,0.800433,0
-0.0990296,-0.476636,0.489307,-0.995134,-0.0985366,0
-0.622123,0.976001,2.43658,0.00313306,0.999995,0
-0.76217,0.302548,1.98861,0.257567,-0.219496,0.941
-0.935671,0.669658,2.77499,0.830208,0.557455,0
-0.859228,-0.840151,2.6149,0.454692,-0.200535,0.867779
1.00553,-0.342339,0.550785,-0.18984,0.0342011,0.981219
0.717831,-0.9191,2.20983,0.824128,0.424635,-0.37483
0.508477,-0.856536,1.28574,-0.764229,-0.450403,-0.461618
0.403889,0.999504,1.77298,0.115328,0.123701,0.985595
-0.862557,-0.221427,1.30663,-0.0563643,0.754722,-0.653619
0.650659,-0.155422,2.45755,-0.534686,0.808273,0.246588
-0.59217,-0.232688,0.197894,0.108461,-0.365368,-0.924523
0.62919,0.026669,2.97774,0.097144,0.99527,0
-0.72719,0.386282,1.9117,0.648615,0.761117,0
0.895061,0.645717,0.0267055,0.644827,-0.696941,-0.313803
0.632168,0.827466,0.791505,-0.556557,-0.65099,-0.516194
-0.128679,0.702738,0.23259,-0.258403,-0.783603,-0.564973
0.803172,-0.591556,1.91206,0.621275,-0.783593,0
-0.219198,-0.58586,2.7641,-0.115085,-0.065072,-0.991222
0.158491,-0.412358,1.97488,-0.881697,-0.450174,0.141258
0.185762,-0.804129,1.17405,0.165587,-0.842949,-0.511877
-0.681783,-0.277494,0.206104,-0.958653,-0.284579,0
-0.0692834,0.0376863,2.39334,0.372304,-0.74048,0.559535
-0.726562,0.207999,2.08345,-0.235429,-0.402296,-0.884721
0.916415,0.876423,2.21006,0.950317,-0.239773,-0.19851
0.545803,0.0343095,2.74553,0.395093,0.389683,-0.831895
0.464188,0.637696,2.90367,0.915229,0.402935,0
-0.836472,-0.521658,1.7085,0.799323,0.416421,0.433216
0.854709,0.627762,0.526072,-0.533048,-0.843183,-0.0700154
-0.0658899,0.758349,2.77467,0.206946,0.613533,-0.76207
-0.619993,0.975994,2.44236,0.00313306,0.999995,0
0.198756,0.731998,0.446835,-0.777352,0.0696905,0.625193
-0.632676,0.698239,1.64346,0.90785,0.382156,-0.172528
-0.650772,0.754224,1.67359,0.159014,0.0669365,0.985005
0.93355,0.887468,2.27875,0.950317,-0.239773,-0.19851
-1.0004,-0.233638,0.194978,0.872211,0.488992,-0.0116016
-0.417182,0.173148,1.6138,0.757395,0.645575,0.097905
0.131723,-1.00195,2.30466,-0.882498,0.3866,0.267839
-0.3609,-0.154737,2.90992,-0.843236,-0.537544,0
-0.105598,0.232632,3.00009,0.10785,-0.73255,-0.672115
0.441614,0.335981,1.81723,-0.294564,-0.283314,-0.912669
-0.707176,0.48626,0.879978,-0.0555028,0.599786,0.798233
0.602622,0.107188,0.661349,0.362065,0.65848,0.659783
0.00556415,0.826781,0.291021,0.10343,-0.792748,0.60071
-0.597303,-0.215385,0.190454,0.108461,-0.365368,-0.924523
0.915808,-0.643985,1.52618,0.722306,-0.691574,0
-0.370634,-0.183441,0.116526,0.709132,-0.298619,0.638717
-0.752851,0.313482,1.98861,0.257567,-0.219496,0.941
-0.479078,-0.87043,0.10242,0.229196,-0.0389573,0.9726
-0.00411022,0.831619,0.297882,-0.0777163,0.595662,0.799467
-0.27299,-0.106608,2.90426,0.843236,0.537544,0
-0.612704,0.159083,2.882,-0.187424,-0.116536,0.975342
-0.490824,-0.803752,0.00504197,-0.229196,0.0389573,-0.9726
-0.609326,0.933177,2.00451,-0.269768,0.600695,-0.75259
-0.668616,0.347825,0.570938,-0.126598,0.849089,0.512855
0.829217,0.614964,-0.0393199,-0.213113,0.230337,-0.949488
0.352204,0.527287,0.318615,-0.757454,0.583937,-0.29203
0.933727,0.891759,2.27442,0.950317,-0.239773,-0.19851
0.933595,0.88918,2.2769,0.950317,-0.239773,-0.19851
0.658824,0.155338,1.41187,0.465635,-0.467941,0.751143
0.78609,-0.562846,1.89252,-0.759697,-0.602329,-0.245073
0.764005,0.0359011,1.04088,0.216824,0.481924,-0.848962
-0.152755,0.848575,0.0826545,0.330607,-0.160614,-0.930001
0.200087,0.733828,0.448286,-0.777352,0.0696905,0.625193
-0.185051,0.48951,2.11813,-0.152403,0.536171,0.830237
-0.40969,-0.443175,2.56653,-0.624573,0.0669347,0.778093
