node_index,aabb_min_x,aabb_min_y,aabb_min_z,aabb_max_x,aabb_max_y,aabb_max_z,n_subtree_primitives,n_leaf_primitives,node_type,valid,surface_area,center_of_mass_x,center_of_mass_y,center_of_mass_z,importance,importance_gt
182,0.411062,-0.310545,0.881883,0.936143,0.100908,1.61046,10,0,interior,1,0.0203,0.445239,0.0489762,0.934313,0.210436,0
183,0.411062,0.000509185,0.881883,0.474892,0.100908,0.979569,5,0,interior,1,0.0151,0.44145,0.0449603,0.92531,0.209581,0
184,0.411062,0.000509185,0.881883,0.432185,0.0104859,0.979569,2,2,leaf,1,9.99985e-05,0.421624,0.00549756,0.930726,0,0
185,0.411062,0.000509185,0.881883,0.474892,0.100908,0.979569,3,3,leaf,1,0.015,0.441582,0.0452234,0.925274,0.210739,0
186,0.411062,-0.310545,0.882107,0.936143,0.100908,1.61046,5,0,interior,1,0.00519999,0.456241,0.0606375,0.960458,0.21287,0
187,0.411943,0.0100697,0.882107,0.474892,0.100908,0.979569,2,2,leaf,1,0.00505,0.447092,0.0671972,0.947402,0.213545,0
188,0.411062,-0.310545,0.979345,0.936143,0.100908,1.61046,3,3,leaf,1,0.000149995,0.764297,-0.160213,1.4,0.158261,0
189,0.132526,0.0676796,0.407925,0.661574,0.898091,1.67798,38,0,interior,1,0.0712,0.437774,0.507082,1.00367,0.0734215,6.70414e-12
190,0.132526,0.0676796,0.407925,0.661574,0.898091,0.903898,19,0,interior,1,0.0356,0.48641,0.698196,0.707116,0.0220906,1.7256e-11
191,0.132526,0.0676796,0.407925,0.656621,0.818644,0.903898,9,0,interior,1,0.0153,0.330649,0.500424,0.586202,0.0258461,0
192,0.132526,0.0676796,0.408752,0.656621,0.730164,0.903898,4,4,leaf,1,0.0101,0.392634,0.390227,0.654422,0.0417631,5.88682e-11
193,0.132526,0.662445,0.407925,0.643615,0.818644,0.827806,5,0,interior,1,0.00520001,0.210255,0.714459,0.453698,0.00384725,5.66024e-11
194,0.132526,0.662445,0.408752,0.24325,0.744903,0.464916,2,2,leaf,1,0.00505,0.202392,0.712591,0.446378,0.00256017,5.63176e-11
195,0.231436,0.663001,0.407925,0.643615,0.818644,0.827806,3,3,leaf,1,0.000150005,0.474982,0.777364,0.70015,0.0724438,0
196,0.545948,0.79603,0.768976,0.661574,0.898091,0.827806,10,0,interior,1,0.0203,0.603805,0.847256,0.798248,0.012824,0
197,0.545948,0.79603,0.768976,0.661446,0.898091,0.827806,5,0,interior,1,0.0151,0.597043,0.843872,0.801458,0.0105073,0
198,0.545948,0.818078,0.768976,0.564035,0.898091,0.827806,2,2,leaf,1,0.000100005,0.554992,0.858084,0.798391,0.24688,0
199,0.545948,0.79603,0.768976,0.661446,0.898091,0.827806,3,3,leaf,1,0.015,0.597323,0.843777,0.801478,0.00413904,0
200,0.563907,0.79603,0.768976,0.661574,0.898091,0.827806,5,0,interior,1,0.00520001,0.623442,0.857083,0.788927,0.0180652,0
201,0.643488,0.79603,0.768976,0.661574,0.876042,0.827806,2,2,leaf,1,0.000100005,0.652531,0.836036,0.798391,0.25546,0
202,0.563907,0.796596,0.768976,0.661574,0.898091,0.827806,3,3,leaf,1,0.00510001,0.622872,0.857495,0.788742,0.00675897,0
203,0.173959,0.0676796,0.826002,0.656621,0.511418,1.67798,19,0,interior,1,0.0356,0.389138,0.315967,1.30022,0.121282,0
204,0.453768,0.0676796,0.826002,0.656621,0.174224,0.979569,9,0,interior,1,0.0153,0.622378,0.126147,0.861806,0.095602,0
205,0.453768,0.0747789,0.881883,0.594317,0.174224,0.979569,4,4,leaf,1,0.000199993,0.526299,0.11021,0.917469,0.137026,0
206,0.582996,0.0676796,0.826002,0.656621,0.174224,0.904525,5,0,interior,1,0.0151,0.62365,0.126358,0.861068,0.0948175,0
207,0.582996,0.0676796,0.826002,0.656621,0.174224,0.904525,2,2,leaf,1,0.01,0.629805,0.119769,0.852281,0.0952841,0
208,0.582996,0.0747789,0.826002,0.656621,0.174224,0.904525,3,3,leaf,1,0.0051,0.611581,0.139278,0.878299,0.0938729,0
209,0.173959,0.406568,1.58377,0.252584,0.511418,1.67798,10,0,interior,1,0.0203,0.213346,0.459033,1.63064,0.135979,0
210,0.173959,0.406568,1.58377,0.252584,0.511418,1.67798,5,0,interior,1,0.0151,0.214506,0.453013,1.63611,0.135395,0
211,0.221378,0.406568,1.58377,0.252584,0.423376,1.67798,2,2,leaf,1,9.99986e-05,0.236981,0.414972,1.63088,0,0
212,0.173959,0.406568,1.58377,0.252584,0.511418,1.67798,3,3,leaf,1,0.015,0.214356,0.453267,1.63615,0.135164,0
213,0.173959,0.422931,1.58377,0.252584,0.511418,1.67798,5,0,interior,1,0.00519999,0.20998,0.476514,1.61477,0.137476,0
214,0.204338,0.422931,1.58377,0.252584,0.511418,1.58412,2,2,leaf,1,0.0001,0.228461,0.467174,1.58395,0,0
215,0.173959,0.422931,1.58377,0.251758,0.511418,1.67798,3,3,leaf,1,0.00509999,0.209617,0.476698,1.61537,0.13471,0
216,-1.02537,-0.948463,1.61015,1.00305,0.977793,3.04163,300,0,interior,1,0.51,0.0506779,0.134927,2.36525,0.1773,6.78674e-10
217,-1.02537,-0.186732,1.61229,0.0406229,0.977793,3.03359,150,0,interior,1,0.25995,-0.488695,0.431426,2.389,0.159461,1.22086e-09
218,-0.973789,0.00153422,1.61229,0.0406229,0.751257,2.39491,75,0,interior,1,0.1275,-0.458512,0.393652,1.98487,0.209754,1.58639e-14
219,-0.973789,0.128593,1.61229,-0.394818,0.751257,2.39491,37,0,interior,1,0.06125,-0.767967,0.411528,1.9324,0.125523,8.29981e-15
220,-0.973789,0.128593,1.61229,-0.394818,0.751257,1.88321,18,0,interior,1,0.0306,-0.757466,0.373356,1.78287,0.127901,0
221,-0.973789,0.128593,1.61229,-0.394818,0.485397,1.88321,9,0,interior,1,0.0153,-0.598389,0.274135,1.71924,0.174229,0
222,-0.973789,0.405682,1.80303,-0.864169,0.485397,1.88321,4,4,leaf,1,0.00515,-0.921241,0.443902,1.83015,0.0807236,0
223,-0.925182,0.128593,1.61229,-0.394818,0.485397,1.80363,5,0,interior,1,0.01015,-0.434578,0.187997,1.66297,0.221543,0
224,-0.925182,0.213382,1.61233,-0.447834,0.485397,1.80363,2,2,leaf,1,9.99994e-05,-0.66709,0.336775,1.74118,0,0
225,-0.451859,0.128593,1.61229,-0.394818,0.215899,1.71226,3,3,leaf,1,0.01005,-0.432264,0.186517,1.66219,0.222099,0
