px,py,pz,nx,ny,nz,weight
-0.72719,0.386282,1.9117,0.648615,0.761117,0,6.68751e-06
0.545803,0.0343095,2.74553,0.395093,0.389683,-0.831895,1.21597e-05
0.464188,0.637696,2.90367,0.915229,0.402935,0,6.67552e-06
-0.836472,-0.521658,1.7085,0.799323,0.416421,0.433216,0.00060417
-0.0658899,0.758349,2.77467,0.206946,0.613533,-0.76207,0.00076719
-0.619993,0.975994,2.44236,0.00313306,0.999995,0,3.08037e-06
0.198756,0.731998,0.446835,-0.777352,0.0696905,0.625193,0.00297029
-0.632676,0.698239,1.64346,0.90785,0.382156,-0.172528,0.000927441
-0.650772,0.754224,1.67359,0.159014,0.0669365,0.985005,5.20986e-06
-1.0004,-0.233638,0.194978,0.872211,0.488992,-0.0116016,0.00151423
-0.417182,0.173148,1.6138,0.757395,0.645575,0.097905,0.000788303
0.131723,-1.00195,2.30466,-0.882498,0.3866,0.267839,0.00116753
-0.707176,0.48626,0.879978,-0.0555028,0.599786,0.798233,4.98972e-06
0.602622,0.107188,0.661349,0.362065,0.65848,0.659783,0.000330398
-0.00411022,0.831619,0.297882,-0.0777163,0.595662,0.799467,8.07066e-06
-0.27299,-0.106608,2.90426,0.843236,0.537544,0,7.39597e-06
-0.490824,-0.803752,0.00504197,-0.229196,0.0389573,-0.9726,3.46989e-06
-0.609326,0.933177,2.00451,-0.269768,0.600695,-0.75259,3.67825e-05
-0.668616,0.347825,0.570938,-0.126598,0.849089,0.512855,0.000638223
0.829217,0.614964,-0.0393199,-0.213113,0.230337,-0.949488,1.53016e-05
0.352204,0.527287,0.318615,-0.757454,0.583937,-0.29203,0.00350968
0.764005,0.0359011,1.04088,0.216824,0.481924,-0.848962,0.00316723
0.200087,0.733828,0.448286,-0.777352,0.0696905,0.625193,0.00297166
-0.185051,0.48951,2.11813,-0.152403,0.536171,0.830237,0.00123569
-0.40969,-0.443175,2.56653,-0.624573,0.0669347,0.778093,0.000985758
0.231927,0.00595529,0.485745,-0.0251805,0.327925,0.944368,0.000698988
-0.0854595,-0.462431,0.51194,-0.047666,0.481385,0.875212,4.19754e-06
0.900168,-0.214483,1.66093,-0.401606,0.915813,0,7.9758e-06
-0.670851,0.363828,0.542214,-0.0756299,0.507248,-0.858475,1.34548e-07
0.356201,-0.391386,2.27985,-0.799581,0.600559,0,9.74305e-06
-0.542856,0.467769,1.89482,0.128942,0.746875,-0.652344,0.000545319
0.05705,-0.064937,0.864549,-0.225274,0.0211131,0.974067,0.0017086
0.262825,-0.158374,1.82967,-0.77399,0.200413,-0.600645,0.000365052
1.02953,-0.456762,2.49646,0.959291,0.282419,0,1.20691e-05
-0.343916,-0.650012,1.36532,-0.0375183,0.999296,0,3.17785e-06
0.918357,0.703857,2.30266,-0.502213,0.864744,0,1.21137e-05
-0.669484,0.352315,0.56329,-0.126598,0.849089,0.512855,0.000638195
0.919637,0.7046,2.30448,-0.502213,0.864744,0,1.21012e-05
-0.155936,0.860425,0.102297,0.436977,0.899473,0,3.02258e-06
0.922351,0.690666,2.29743,0.668265,0.388105,-0.634663,0.00141791
0.356389,0.64928,2.98751,-0.221084,0.502172,0.836029,9.7689e-06
-0.596959,-0.215694,0.191698,-0.108461,0.365368,0.924523,0.000237951
0.438341,0.086564,2.46717,-0.199371,0.132559,-0.970917,0.00092926
-0.590701,-0.237246,0.200949,-0.108461,0.365368,0.924523,0.000238982
0.916956,-0.0814335,2.24834,-0.400526,0.834409,-0.378604,0.000205094
1.01128,0.392533,1.977,0.698467,0.715642,0,8.92633e-06
-0.670866,0.363924,0.542272,-0.0756299,0.507248,-0.858475,1.34544e-07
-0.0324109,0.827695,0.298054,-0.0777163,0.595662,0.799467,7.84126e-06
-0.605424,0.922301,1.08866,0.652161,0.216644,0.726465,0.00051218
-0.102007,0.683422,2.06049,-0.643092,0.765789,0,1.16908e-05
-0.785256,0.154853,0.610232,0.20198,0.96739,-0.15284,0.000309411
0.805524,0.657436,0.557463,0.533048,0.843183,0.0700154,0.00054152
0.962911,-0.37253,0.543592,-0.18984,0.0342011,0.981219,0.00392712
0.462574,0.641363,2.90977,0.915229,0.402935,0,6.63892e-06
0.702967,0.480123,2.05167,0.418437,0.69891,-0.580031,0.00151071
0.123382,-0.998536,2.26973,-0.245331,0.107474,-0.963464,8.98229e-06
0.684935,-0.147518,2.97044,0.994393,0.0504279,0.0929523,0.000715287
-0.580795,0.510849,1.93664,0.128942,0.746875,-0.652344,0.000388895
0.366674,-0.389947,2.12373,0.710887,0.620072,-0.331889,0.00134992
0.462674,0.641135,2.9094,0.915229,0.402935,0,6.64116e-06
-0.175998,0.753541,0.254294,0.176934,0.536552,-0.82511,0.000233965
0.364872,-0.379842,2.30942,-0.799581,0.600559,0,7.20362e-06
-0.25291,-0.138108,2.87288,0.843236,0.537544,0,7.60127e-06
0.039557,-0.542167,2.29982,-0.799112,0.391115,0.456562,0.00146743
-0.697795,0.996857,2.66521,-0.17391,0.984762,0,4.12775e-06
-0.067543,0.752677,2.76965,0.206946,0.613533,-0.76207,0.000769459
0.719822,-0.232297,0.999671,0.998201,0.0599616,0,4.36407e-05
0.592067,-0.549406,0.138395,-0.346994,0.794853,-0.4978,0.000368528
0.417827,0.986505,1.77298,0.115328,0.123701,0.985595,1.38349e-05
0.627323,0.0268512,2.97524,0.097144,0.99527,0,4.72899e-07
-0.0191729,0.82953,0.297974,-0.0777163,0.595662,0.799467,7.94754e-06
-0.934211,0.667485,2.76955,0.830207,0.557455,0,5.55898e-06
-0.0277678,0.0237757,2.34674,0.893429,0.449205,0,1.10155e-05
-0.126206,0.772944,0.277589,0.176934,0.536552,-0.82511,0.000244305
0.0611434,-0.0613675,0.865419,-0.225274,0.0211131,0.974067,0.00171586
-0.232478,0.948779,2.75146,0.553236,0.120859,-0.824211,0.00116887
-0.921528,0.469781,0.097826,-0.0541186,0.0463424,0.997459,1.16357e-06
0.0689693,-0.572322,2.37713,-0.799112,0.391115,0.456562,0.00141936
0.0339195,-0.0905997,2.79582,-0.893185,0.449689,0,8.49685e-06
0.540319,0.148014,0.653377,-0.876272,0.481817,0,4.3174e-05
-0.839103,-0.523216,1.71485,0.799323,0.416421,0.433216,0.000601528
-0.268264,-0.114023,2.89687,0.843236,0.537544,0,7.44377e-06
-0.255091,-0.134687,2.87629,0.843236,0.537544,0,7.57868e-06
0.683541,0.480306,2.03788,0.418437,0.69891,-0.580031,0.0015073
0.453074,0.616781,2.43032,0.41286,0.910795,0,1.27742e-06
0.612607,-0.524879,0.16324,-0.346994,0.794853,-0.4978,0.000382848
-0.687522,0.998672,2.66177,-0.17391,0.984762,0,4.155e-06
0.404379,0.999046,1.77298,0.115328,0.123701,0.985595,1.36353e-05
-0.307799,-0.648656,1.32899,-0.0375183,0.999296,0,3.32691e-06
0.62601,0.0269794,2.97347,0.097144,0.99527,0,4.73235e-07
0.452587,0.617001,2.42935,0.41286,0.910795,0,1.27789e-06
-0.585375,0.42094,2.10956,-0.966523,0.256579,0,1.18866e-05
0.823389,0.938472,0.0889186,-0.290581,0.346919,0.891745,2.64121e-05
